City1,City2,Passenger_Trips,Aircraft_Trips,RPKs,ASKs,Seats,Month_num,load_factor,city_pair,avg_ac_capacity,daily_ac_trips,est_daily_TOC
ALBURY,SYDNEY,12665,323,5724580.0,8372396.0,18523,1,68.4,ALBURYSYDNEY,57.0,10.42,39780.02
ALBURY,SYDNEY,15546,459,7026792.0,10958740.0,24245,2,64.1,ALBURYSYDNEY,53.0,15.83,60433.56
ALBURY,SYDNEY,12140,435,5487280.0,10427188.0,23069,3,52.6,ALBURYSYDNEY,53.0,14.03,53561.77
ALBURY,SYDNEY,314,41,141928.0,877784.0,1942,4,16.2,ALBURYSYDNEY,47.0,1.37,5230.19
ALBURY,SYDNEY,416,33,188032.0,793712.0,1756,5,23.7,ALBURYSYDNEY,53.0,1.06,4046.72
ALBURY,SYDNEY,0,0,0.0,0.0,0,6,0.0,ALBURYSYDNEY,0.0,0.0,0.0
ALBURY,SYDNEY,0,0,0.0,0.0,0,7,0.0,ALBURYSYDNEY,0.0,0.0,0.0
ALBURY,SYDNEY,0,0,0.0,0.0,0,8,0.0,ALBURYSYDNEY,0.0,0.0,0.0
ADELAIDE,ALICE SPRINGS,8618,113,11341288.0,18335828.0,13933,1,61.9,ADELAIDEALICE SPRINGS,123.0,3.65,29872.84
ADELAIDE,ALICE SPRINGS,8505,114,11192580.0,19592608.0,14888,2,57.1,ADELAIDEALICE SPRINGS,131.0,3.93,32164.46
ADELAIDE,ALICE SPRINGS,7152,114,9412032.0,20388788.0,15493,3,46.2,ADELAIDEALICE SPRINGS,136.0,3.68,30118.37
ADELAIDE,ALICE SPRINGS,0,0,0.0,0.0,0,4,0.0,ADELAIDEALICE SPRINGS,0.0,0.0,0.0
ADELAIDE,ALICE SPRINGS,0,0,0.0,0.0,0,5,0.0,ADELAIDEALICE SPRINGS,0.0,0.0,0.0
ADELAIDE,ALICE SPRINGS,0,0,0.0,0.0,0,6,0.0,ADELAIDEALICE SPRINGS,0.0,0.0,0.0
ADELAIDE,ALICE SPRINGS,0,0,0.0,0.0,0,7,0.0,ADELAIDEALICE SPRINGS,0.0,0.0,0.0
ADELAIDE,ALICE SPRINGS,0,0,0.0,0.0,0,8,0.0,ADELAIDEALICE SPRINGS,0.0,0.0,0.0
ADELAIDE,BRISBANE,0,0,0.0,0.0,0,4,0.0,ADELAIDEBRISBANE,0.0,0.0,0.0
ADELAIDE,BRISBANE,0,0,0.0,0.0,0,5,0.0,ADELAIDEBRISBANE,0.0,0.0,0.0
ADELAIDE,BRISBANE,0,0,0.0,0.0,0,6,0.0,ADELAIDEBRISBANE,0.0,0.0,0.0
ADELAIDE,BRISBANE,18226,140,29562572.0,34141478.0,21049,7,86.6,ADELAIDEBRISBANE,150.0,4.52,43097.12
ADELAIDE,CANBERRA,12283,120,11939076.0,19331136.0,19888,1,61.8,ADELAIDECANBERRA,166.0,3.87,23755.07
ADELAIDE,CANBERRA,14618,138,14208696.0,22286016.0,22928,2,63.8,ADELAIDECANBERRA,166.0,4.76,29218.12
ADELAIDE,CANBERRA,10147,123,9862884.0,19757844.0,20327,3,49.9,ADELAIDECANBERRA,165.0,3.97,24368.89
ADELAIDE,CANBERRA,0,0,0.0,0.0,0,4,0.0,ADELAIDECANBERRA,0.0,0.0,0.0
